街区,租赁方式,朝向,每月租金,行政区,板块,房屋面积,格局,发布时长
,,,2625,奉贤,奉贤金汇,81.35㎡,2室1厅1卫,"
            贝壳优选          "
,,,6300,徐汇,康健,76.41㎡,2室1厅1卫,"
            链家          "
,,,4200,浦东,三林,53.00㎡,1室1厅1卫,"
            贝壳优选          "
贝壳新青年公寓,独栋,半年起租,4900-6600,,,1室0厅1卫,,"
            贝壳新青年公寓          "
,,,3750,闵行,莘庄北广场,59.85㎡,2室1厅1卫,"
            贝壳优选          "
贝壳新青年公寓,独栋,【3min地铁长租特价】半年起租,2600-2780,,,,,"
            贝壳新青年公寓          "
,,,4500,青浦,赵巷,90.23㎡,3室2厅1卫,"
            贝壳优选          "
,,,6500,浦东,源深,50.08㎡,1室1厅1卫,"
            链家          "
,,,4900,闵行,颛桥,80.40㎡,2室1厅1卫,"
            贝壳优选          "
森邻寓,独栋,白领精英人士独居/0物业费0服务费0中介费/拎包入住,4000,,,1室1厅1卫,,"
            森邻寓          "
,,,4500,闵行,七宝,52.85㎡,1室1厅1卫,"
            贝壳优选          "
贝壳新青年公寓,独栋,【限时特惠】半年起租,2830-3210,,,,,"
            贝壳新青年公寓          "
,,,5610,浦东,世博,48.13㎡,2室1厅1卫,"
            贝壳优选          "
中海友里,独栋,【地铁口好房推荐】阳台一居室带落地窗,6500,,,1室0厅1卫,,"
            中海友里          "
,,,5100,闵行,梅陇,61.50㎡,2室1厅1卫,"
            贝壳优选          "
城方公寓,独栋,精致户型丨民用水电丨限时特价,2999,,,1室1厅1卫,,"
            城方公寓          "
,,,6500,松江,九亭,124.00㎡,3室2厅2卫,"
            贝壳优选          "
,,,8200,杨浦,五角场,103.53㎡,2室2厅1卫,"
            链家          "
华润置地,独栋,毕业生特惠折上98折/立减500/8号线地铁口/免租7天,2886-3184,,,1室0厅1卫,,"
            华润置地·有巢公寓          "
,,,3700,徐汇,华东理工,40.50㎡,1室0厅1卫,"
            贝壳优选          "
,,,3100,宝山,月浦,85.28㎡,3室2厅1卫,"
            链家          "
华润置地,独栋,整租阳光一室户/领包入住地铁口50米/直达世博,3019-3184,,,1室0厅1卫,,"
            华润置地·有巢公寓          "
,,,10000,浦东,塘桥,114.50㎡,2室2厅2卫,"
            贝壳优选          "
城方公寓,独栋,民用水电,8500-10051,,,2室1厅1卫,,"
            城方公寓          "
,,,3750,闵行,莘庄北广场,60.21㎡,2室1厅1卫,"
            贝壳优选          "
城方公寓,独栋,签约有礼,11450-13401,,,,,"
            城方公寓          "
,,,2800,浦东,航头,59.00㎡,1室1厅1卫,"
            链家          "
,,,6200,静安,曹家渡,50.51㎡,2室0厅1卫,"
            链家          "
,,,3300,闵行,闵浦,71.85㎡,2室1厅1卫,"
            链家          "
,,,17000,浦东,三林,102.85㎡,3室2厅2卫,"
            链家          "
,,,4300,闵行,闵浦,103.49㎡,2室2厅2卫,"
            贝壳优选          "
,,,6200,浦东,三林,62.00㎡,1室1厅1卫,"
            链家          "
,,,5700,浦东,潍坊,49.40㎡,2室0厅1卫,"
            贝壳优选          "
冠寓,独栋,预算2000,2153,,,,,"
            冠寓          "
,,,5000,杨浦,黄兴公园,55.00㎡,2室0厅1卫,"
            贝壳优选          "
冠寓,独栋,中春路航天城人才公寓,2318-2425,,,,,"
            冠寓          "
,,,3800,宝山,杨行,82.62㎡,3室1厅1卫,"
            贝壳优选          "
,,,2400,浦东,惠南,53.80㎡,1室1厅1卫,"
            链家          "
,,,6300,闵行,闵浦,139.47㎡,3室2厅1卫,"
            贝壳优选          "
华润置地,独栋,地铁站旁/直达人广/世博园区/可做饭/无中介费/一室一厅/宠物友好,2994-5751,,,,,"
            华润置地·有巢公寓          "
,,,3250,松江,泗泾,70.67㎡,2室1厅1卫,"
            贝壳优选          "
城投宽庭,独栋,沪漂首选,2200,,,1室1厅1卫,,"
            城投宽庭          "
,,,4600,普陀,桃浦,91.90㎡,3室1厅1卫,"
            贝壳优选          "
城投宽庭,独栋,宽敞一居,2600,,,1室1厅1卫,,"
            城投宽庭          "
,,,3400,闵行,颛桥,66.00㎡,2室1厅1卫,"
            贝壳优选          "
彩虹小居,独栋,落地窗小院,4900,,,1室0厅1卫,,"
            彩虹小居          "
,,,3950,浦东,新场,76.00㎡,2室1厅1卫,"
            贝壳优选          "
,,,14000,闵行,金虹桥,107.87㎡,2室2厅1卫,"
            链家          "
彩虹小居,独栋,无中介费!复式白菜价！先到先选！距10号线600米,3100,,,1室0厅1卫,,"
            彩虹小居          "
,,,5200,浦东,三林,75.00㎡,3室1厅1卫,"
            贝壳优选          "
,,,4600,浦东,三林,67.00㎡,2室1厅1卫,"
            链家          "
柚米寓,独栋,无服务费！无管理费！直营没有中介费,2828,,,1室1厅1卫,,"
            柚米寓          "
,,,5000,宝山,高境,48.00㎡,2室1厅1卫,"
            贝壳优选          "
纳仕,独栋,【限时特惠】张江保租房，宠物友好，明火做饭，宜家环保家具，可办理居住证,3388,,,1室0厅1卫,,"
            纳仕          "
,,,6400,松江,泗泾,98.09㎡,3室2厅2卫,"
            贝壳优选          "
菁舍,独栋,"绿地菁舍·落地大飘窗房,应届生额外优惠！！地铁现房，民用水电，可办居住证可开发票，宠物友好",2100-2340,,,1室0厅1卫,,"
            菁舍          "
,,,3300,闵行,颛桥,62.27㎡,1室1厅1卫,"
            链家          "
,,,10300,黄浦,蓬莱公园,104.14㎡,2室2厅1卫,"
            链家          "
,,,4500,闵行,莘庄南广场,77.51㎡,2室1厅1卫,"
            链家          "
,,,5200,浦东,世博,37.00㎡,1室1厅1卫,"
            链家          "
,,,3400,闵行,浦江,60.93㎡,1室1厅1卫,"
            贝壳优选          "
,,,2180,浦东,万祥镇,89.64㎡,2室2厅1卫,"
            链家          "
,,,3780,嘉定,南翔,92.78㎡,3室1厅1卫,"
            贝壳优选          "
纳仕,独栋,【限时特惠】张江保租房，宠物友好，明火做饭，宜家环保家具，可办理居住证,3388,,,1室0厅1卫,,"
            纳仕          "
,,,2000,奉贤,海湾,90.56㎡,2室2厅1卫,"
            贝壳优选          "
菁舍,独栋,"绿地菁舍·落地大飘窗房,应届生额外优惠！！地铁现房，民用水电，可办居住证可开发票，宠物友好",2100-2340,,,1室0厅1卫,,"
            菁舍          "
,,,3623,青浦,盈浦,61.23㎡,2室2厅2卫,"
            贝壳优选          "
,,,4700,嘉定,菊园新区,94.12㎡,3室1厅2卫,"
            链家          "
,,,4500,宝山,罗店,120.00㎡,3室2厅2卫,"
            贝壳优选          "
菁舍,独栋,绿地菁舍·整租阳台房·应届生额外优惠！！富锦路地铁200米，押一付一，民用水电！！,2320-2480,,,1室1厅1卫,,"
            菁舍          "
,,,3530,浦东,金杨,43.96㎡,1室1厅1卫,"
            贝壳优选          "
大华享寓,独栋,7天免租民水民电通燃气可月付免费班车,2745,,,1室1厅1卫,,"
            大华享寓          "
,,,8300,杨浦,新江湾城,102.49㎡,3室2厅1卫,"
            贝壳优选          "
大华享寓,独栋,618钜惠·享福利8.5折!可住外籍朝南厅卧独立厨卫近地铁。,3800,,,1室1厅1卫,,"
            大华享寓          "
,,,2600,闵行,老闵行,52.00㎡,1室1厅1卫,"
            贝壳优选          "
大华享寓,独栋,"15号线丰翔路0距离，8.5折无中介民用水电煤有停车位,可用公积金！",3800,,,1室1厅1卫,,"
            大华享寓          "
,,,7100,浦东,三林,92.61㎡,2室2厅1卫,"
            贝壳优选          "
,,,4200,闵行,春申,85.90㎡,2室1厅1卫,"
            链家          "
城投宽庭,独栋,精装修28平,2800,,,1室1厅1卫,,"
            城投宽庭          "
,,,5200,浦东,金杨,77.14㎡,2室2厅1卫,"
            贝壳优选          "
,,,5300,浦东,南码头,51.70㎡,2室1厅1卫,"
            链家          "
柚米寓,独栋,精致一居,2223,,,1室1厅1卫,,"
            柚米寓          "
,,,4500,长宁,中山公园,29.43㎡,1室1厅1卫,"
            贝壳优选          "
冠寓,独栋,龙湖直租0中介,3600-4000,,,1室0厅1卫,,"
            冠寓          "
,,,5500,长宁,新华路,38.00㎡,1室1厅1卫,"
            贝壳优选          "
纳仕,独栋,限时折扣，24H安全保障，宜家绿色家具，租12免1，民水民电，燃气做饭,3372,,,1室0厅1卫,,"
            纳仕          "
,,,13000,静安,静安寺,129.15㎡,3室2厅1卫,"
            链家          "
,,,6800,青浦,徐泾,88.13㎡,2室2厅1卫,"
            链家          "
,,,4800,浦东,张江,86.05㎡,2室1厅1卫,"
            链家          "
,,,5500,浦东,花木,51.00㎡,1室1厅1卫,"
            链家          "
,,,4800,闵行,静安新城,48.68㎡,1室1厅1卫,"
            链家          "
,,,6500,浦东,金桥,86.65㎡,2室1厅1卫,"
            链家          "
,,,3500,松江,松江老城,91.77㎡,2室1厅2卫,"
            链家          "
菁舍,独栋,超大一房一厅1号线富锦路,3880,,,1室1厅1卫,,"
            菁舍          "
,,,5800,宝山,共康,98.70㎡,2室2厅1卫,"
            链家          "
柚米寓,独栋,浦江镇班车接送！水电补贴！健身房,1893,,,1室1厅1卫,,"
            柚米寓          "
,,,6000,青浦,金泽,200.00㎡,6室2厅6卫,"
            链家          "
,,,7600,普陀,桃浦,128.19㎡,2室2厅1卫,"
            链家          "
,,,800,崇明,崇明新城,102.03㎡,3室2厅1卫,"
            链家          "
贝壳新青年公寓,独栋,【限时85折优惠】9号线七宝地铁站,3400,,,1室1厅1卫,,"
            贝壳新青年公寓          "
,,,4600,闵行,莘庄南广场,106.90㎡,2室2厅1卫,"
            链家          "
,,,3400,松江,泗泾,67.12㎡,2室1厅1卫,"
            链家          "
,,,5500,浦东,周浦,74.90㎡,2室2厅1卫,"
            链家          "
,,,3700,青浦,夏阳,73.54㎡,2室1厅1卫,"
            链家          "
,,,5300,浦东,杨思前滩,103.00㎡,3室1厅1卫,"
            链家          "
,,,2200,松江,松江老城,89.02㎡,2室1厅1卫,"
            链家          "
,,,5900,杨浦,黄兴公园,47.12㎡,2室1厅1卫,"
            链家          "
,,,4100,徐汇,万体馆,32.33㎡,1室0厅1卫,"
            链家          "
,,,9500,长宁,天山,104.17㎡,3室1厅1卫,"
            链家          "
,,,4300,浦东,周浦,52.83㎡,2室2厅1卫,"
            链家          "
,,,3900,宝山,淞南,62.35㎡,2室1厅1卫,"
            链家          "
,,,5200,虹口,曲阳,50.09㎡,3室2厅1卫,"
            链家          "
,,,2200,宝山,上大,55.00㎡,1室1厅1卫,"
            链家          "
